chromosome1	x1	x2	chromosome2	y1	y2	color	observed	stripId	FDR	EnrichmentScore	EnrichmentScore_X	EnrichmentScore_Y	-log10(binomal_p-value)	-log10(poisson_p-value)
chr21	46221879	46636222	chr21	46635319	46636929	"0,255,255"	2914	chr21-chr21-339	0.1	3.9330543933054396	0.0605254958978087	0.6418502202643172	4.82163733277e-17	300.0
chr21	46223055	46323656	chr21	46324650	46324874	"0,255,255"	654	chr21-chr21-343	0.0	3.9338345864661655	0.02683076923076923	0.41735800893426933	28.4082669384	300.0
chr21	46221439	46457447	chr21	46454871	46458511	"0,255,255"	1852	chr21-chr21-344	0.1	2.4852388620504562	0.05203562698434998	0.5138734739178691	4.82163733277e-17	253.354277216
chr21	28951896	29297348	chr21	29299117	29299232	"0,255,255"	502	chr21-chr21-38	0.0	2.9940357852882706	0.008683618751081128	0.37047970479704795	116.590437003	300.0
chr21	31962615	32393313	chr21	32393080	32393964	"0,255,255"	1864	chr21-chr21-45	0.1	3.3424985056784222	0.07548698011582229	0.4241183162684869	0.00346743414571	300.0
chr21	32243509	32614510	chr21	32608987	32614730	"0,255,255"	3426	chr21-chr21-46	0.1	2.7196951655155988	0.10969167226971473	0.47517337031900136	4.82163733277e-17	300.0
chr21	32517531	32728227	chr21	32725826	32728979	"0,255,255"	2277	chr21-chr21-48	0.1	3.1515570934256054	0.10023330545406524	0.4363740896895362	4.82163733277e-17	300.0
chr21	14476725	14542188	chr21	14541831	14543054	"0,255,255"	420	chr21-chr21-5	0.1	2.0885131775236201	0.025028305822060663	0.32967032967032966	4.82163733277e-17	40.6941633751
chr21	32655137	32758006	chr21	32757018	32758328	"0,255,255"	219	chr21-chr21-50	0.1	2.2907949790794979	0.01702160733716773	0.4669509594882729	1.01254383988e-15	26.5680562156
chr21	32886138	33324661	chr21	33324007	33325459	"0,255,255"	2357	chr21-chr21-51	0.0	4.9842575187969924	0.058379154901669394	0.4200677241133488	4.82163733277e-17	300.0
chr21	33111432	33404826	chr21	33399969	33405486	"0,255,255"	2784	chr21-chr21-53	0.1	2.145871471240004	0.05807137940385056	0.6739288307915758	5.67063123436e-12	300.0
chr21	33513068	33915343	chr21	33913141	33916010	"0,255,255"	2678	chr21-chr21-60	0.1	3.86268570604356	0.045469208958011445	0.43565967138441514	4.82163733277e-17	300.0
chr21	33515145	33893993	chr21	33894677	33895348	"0,255,255"	407	chr21-chr21-61	0.0	2.6201716738197423	0.007465972043878636	0.5313315926892951	0.000368705687595	74.362081483
chr21	33564373	34074050	chr21	34073584	34074760	"0,255,255"	840	chr21-chr21-64	0.1	2.6286509040333796	0.01245274627529464	0.3421588594704684	4.82163733277e-17	152.787322527
chr21	33578291	34202582	chr21	34200634	34203338	"0,255,255"	3480	chr21-chr21-66	0.1	2.8308793622386723	0.041745639500012	0.5495893872394189	4.82163733277e-17	300.0
chr21	33721716	33947900	chr21	33947608	33948453	"0,255,255"	505	chr21-chr21-69	0.1	3.5438596491228069	0.015086786365130105	0.24013314312886352	4.82163733277e-17	158.256068691
chr21	33859577	33974668	chr21	33976209	33976779	"0,255,255"	327	chr21-chr21-70	0.0	5.5778251599147124	0.013158953722334004	0.3279839518555667	14.8727443197	155.727209324
chr21	34715477	35046747	chr21	35045405	35047580	"0,255,255"	2740	chr21-chr21-82	0.0	2.4277866383129543	0.028396136467271897	0.6047230192010594	4.82163733277e-17	300.0
chr21	34731487	35205197	chr21	35204626	35205910	"0,255,255"	1603	chr21-chr21-83	0.0	3.6656757374799906	0.013558318531675547	0.5343333333333333	4.82163733277e-17	300.0
chr21	34789086	35047203	chr21	35049302	35049958	"0,255,255"	454	chr21-chr21-85	0.0	2.9934065934065934	0.004863781965439294	0.5272938443670151	104.391080103	277.838839089
chr21	34774785	35485985	chr21	35481975	35486669	"0,255,255"	3800	chr21-chr21-86	0.0	2.0487384084537417	0.027786308662016115	0.6800286327845383	4.82163733277e-17	300.0
chr21	34843211	35471783	chr21	35469943	35472725	"0,255,255"	1879	chr21-chr21-90	0.1	2.2449223416965354	0.014572217396699342	0.5459035444509006	4.82163733277e-17	209.15278145
